model,split,status,reason,n,mae,rmse,pearson,spearman,kendall,pairwise_accuracy,mae_ci_low,mae_ci_high,rmse_ci_low,rmse_ci_high,pearson_ci_low,pearson_ci_high,spearman_ci_low,spearman_ci_high,pairwise_accuracy_ci_low,pairwise_accuracy_ci_high
gemma_3_270m_it_lora,validation,ok,,111,0.5293911021980204,0.667295208602565,0.030367319781184877,0.041111726958401096,0.027106528647623286,0.5121673003802282,0.4543324610972102,0.6024848401715662,0.5809928843846147,0.745961658253478,-0.14875944474551148,0.18557618754587485,-0.14704632886415345,0.21369020083650644,0.4417566451245698,0.5839890507005713
gemma_3_270m_it_lora,test,ok,,111,0.5220106030138403,0.6513442909032333,0.2459937122635077,0.20253161753468962,0.1294978686984497,0.5762647394446557,0.451805055961775,0.6006188011245404,0.5735146775572726,0.7340746649466048,0.09068015379182212,0.39486200319191594,0.015150036822041215,0.37051767025081267,0.5075357452455612,0.6422581104294123
minilm_hist_gradient_boosting,validation,ok,,111,0.4937081476326891,0.6159232905008863,0.0685479387639382,0.05859950859950859,0.03456183456183456,0.5201520912547528,0.427012283754004,0.557576339976849,0.5436374092468136,0.6856444864330085,-0.11978812603074704,0.24690081239674277,-0.1328107448026953,0.2548761641761977,0.44760825940232263,0.5963941268514457
minilm_hist_gradient_boosting,test,ok,,111,0.4687356573319091,0.5968855587463869,0.22188433524496443,0.24375219375219373,0.1656019656019656,0.5947128185621909,0.400556378914003,0.5414503905312282,0.5194418822426384,0.6745983964793474,0.034935210143854374,0.41606475135971527,0.0606142352857136,0.42736723112267094,0.5217179056360396,0.6710378247252344
minilm_random_forest,validation,ok,,111,0.4797122743753926,0.600784720052966,0.12722984352915045,0.12464899964899963,0.07714987714987714,0.5448669201520913,0.4131136175665059,0.545199085341247,0.5315572277668541,0.6678890794399209,-0.05863904977164507,0.29354404613978885,-0.06180163473492333,0.3010747423576953,0.4735290466829516,0.6107451093210586
minilm_random_forest,test,ok,,111,0.4890247052651164,0.6112465608093327,0.11664630564110845,0.13413478413478414,0.09221949221949222,0.5515405096995055,0.4224464750099231,0.5626202161941963,0.5334856883554946,0.6846326715529598,-0.09250827286057989,0.31195436702819807,-0.05927823508965164,0.3277459337481713,0.4738337962266821,0.632813017244324
minilm_ridge,validation,ok,,111,0.4988599934825432,0.6087298066020854,0.021853948966154065,-0.065005265005265,-0.04438984438984439,0.4781368821292776,0.4365452425262471,0.5642089690009218,0.5443839311349211,0.6749337330485955,-0.18059003689963982,0.20382291630075317,-0.25989154304606016,0.1343444857251063,0.39985340107726214,0.5579088002440015
minilm_ridge,test,ok,,111,0.4934421293816571,0.6131174670083839,0.03391611142043307,0.044673569673569676,0.025716625716625714,0.5163560289083302,0.4297872191546657,0.5695189913008747,0.5391001838323721,0.6869943377100208,-0.16313139068234409,0.22201546706372513,-0.14448269316549708,0.2195464705549429,0.4448656820309975,0.5841484103660166
modernbert_base_lora,validation,ok,,111,0.5079876146253544,0.6327943106363065,-0.03206765206062391,-0.016593541593541594,-0.014905814905814904,0.49524714828897337,0.4425551459426995,0.579985363052768,0.5582422877074924,0.7087797871138298,-0.21958669807578346,0.14949574542665664,-0.20736004148700737,0.1780829521719022,0.4214848230655088,0.5696288945385519
modernbert_base_lora,test,ok,,111,0.4902755242706955,0.6164815260835215,0.18499587815797752,0.24991224991224986,0.1718263718263718,0.5952833777101559,0.42509850193060594,0.5626121673681749,0.5364623495701556,0.6978952099041087,-0.03500720380825942,0.39376716509736165,0.040313424784120505,0.42697586185236325,0.5145495937641545,0.6675782811803094
