feature,n,pearson,pearson_ci_low,pearson_ci_high,spearman,spearman_ci_low,spearman_ci_high,kendall
num_items_with_multiple_category_titles,741,0.14115692586577994,0.06244890569275775,0.2136570096891801,0.13002751530762044,0.0535602255874391,0.2000175994566383,0.09484044861863695
num_repeated_items_global,741,0.1267987367915346,0.048928048422899294,0.1971423029704032,0.11658620517044187,0.041329756859841124,0.18373130562999615,0.08486343629499034
avg_item_category_count_global,741,0.10340209916851828,0.031066795980139183,0.1757250557665336,0.0986382754754801,0.02638174192513659,0.16913488904522625,0.06900686762824501
avg_item_occurrences_global,741,0.09544641019663808,0.021985693096026004,0.1688266609315344,0.08962695784838157,0.015908658237101088,0.15965678862686059,0.06296847696678538
max_item_category_count_global,741,0.06480190794038529,-0.013648585939163523,0.14598859904488667,0.07394655803705126,-0.0037819161063575315,0.14784992802518468,0.05353258536067948
max_item_occurrences_global,741,0.06433777972056505,-0.013622097862053775,0.14607263950158475,0.07301835854479459,-0.001875899715506533,0.14899372706373412,0.0532121843812612
num_fill_blank_categories,741,0.04816867834029514,-0.019712091832596243,0.11067987508760528,0.05235851086192407,-0.019678892973386698,0.12081136017483916,0.04423766835459895
num_exact_repeated_category_member_sets,741,0.04946743151900946,-0.03367155343734678,0.13653090899557596,0.03525070515552633,-0.04366914645045998,0.10953499014154403,0.029889264419711514
avg_category_title_len,741,0.01998517627986606,-0.050824576433940234,0.09253028281519848,0.02641491589076314,-0.04712012124890695,0.10237855658902341,0.01869160392570544
num_image_items,741,0.06146871398173534,-0.05983763743676562,0.1725925515482099,0.007331876349949845,-0.09243799497846822,0.10715042552109626,0.006188539975050122
num_repeated_category_titles,741,-0.012843168878326847,-0.08501621533194621,0.060274488978597274,-0.00795151563758817,-0.07929155117086698,0.06838780277227195,-0.0067026434903074295
num_distinct_repeated_category_titles,741,-0.012843168878326847,-0.08501621533194621,0.060274488978597274,-0.00795151563758817,-0.07929155117086698,0.06838780277227195,-0.0067026434903074295
max_category_title_len,741,-0.020686726795092054,-0.08975303565189306,0.049655667193168565,-0.035883882549911324,-0.10663068710113865,0.040538349702260626,-0.025301292078955394
max_item_len,741,-0.11308452259302285,-0.19498408754461052,-0.028653487235159324,-0.0911759154630995,-0.16521278714140075,-0.018622285051939438,-0.06754929253927794
avg_item_len,741,-0.1182085711880388,-0.19140333205927626,-0.03553345605964225,-0.09484314750717375,-0.16612421054408621,-0.025001830347453513,-0.06727194871700636
